grower_label,site_key,location_id,location_name,iso_year,iso_week,week_start,risk_score,risk_score_raw,clim_score,risk_vs_clim,risk_band,count_dinophysis,y_dinophysis,y_dinophysis_nowcast,dsp_closure_risk,sst,ssta,status,role,split,latitude,longitude
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,4,2024-01-22,0.0,0.0004153481884200289,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,8.86,-0.11193430656934567,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,4,2024-01-22,0.0,0.00046576760044193387,0.0,0.0,Lower,40.0,0,0,0.052845528455284556,8.86,-0.11193430656934567,active,nmp_core,test,53.60389,-9.80278
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,4,2024-01-22,0.0,0.0004567142269256281,0.0,0.0,Lower,0.0,0,0,0.0703125,8.86,-0.11193430656934567,active,nmp_core,test,53.61472,-9.83306
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,4,2024-01-22,0.0,0.0004570471114841445,0.0,0.0,Lower,0.0,0,0,,9.23,0.0427737226277376,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,4,2024-01-22,0.0,0.00040301952786033466,0.0,0.0,Lower,0.0,0,0,,9.39,0.13861313868613223,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,5,2024-01-29,0.0,0.0003077453098899501,0.0,0.0,Lower,0.0,0,0,,9.12,0.3239781021897805,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,5,2024-01-29,0.0,0.000416642334924931,0.0,0.0,Lower,0.0,0,0,0.0703125,9.12,0.3239781021897805,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,5,2024-01-29,0.0,0.00046721877088223244,0.0,0.0,Lower,0.0,0,0,0.0703125,9.12,0.3239781021897805,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,5,2024-01-29,0.0005931198102016608,0.0019534853619530253,0.0,0.0005931198102016608,Lower,0.0,0,0,,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,5,2024-01-29,0.0,0.00045813720312009736,0.0,0.0,Lower,0.0,0,0,0.0703125,9.12,0.3239781021897805,active,nmp_core,test,53.61472,-9.83306
Mannin,mannin,177,Mannin,2024,5,2024-01-29,0.0,0.00048094675177804005,0.0,0.0,Lower,0.0,0,0,,9.57,0.4869343065693439,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,5,2024-01-29,0.0,0.00043774960503936044,0.0,0.0,Lower,0.0,0,0,0.16960651289009496,9.45,0.4481386861313865,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,5,2024-01-29,0.0,0.0003860023005987687,0.0,0.0,Lower,0.0,0,0,,9.57,0.4869343065693439,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,6,2024-02-05,0.0,0.0003505248935685873,0.0,0.0,Lower,0.0,0,0,0.6908212560386473,9.04,0.3736727272727265,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,6,2024-02-05,0.0,0.000508226164978054,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.04,0.3736727272727265,active,nmp_core,test,53.6,-9.75528
Rosmuc,rosmuc,174,Rosmuc,2024,6,2024-02-05,0.0,0.0010372820929171397,0.0,0.0,Lower,0.0,0,0,0.2665274878218511,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,6,2024-02-05,0.0,0.000558837087946424,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,9.04,0.3736727272727265,active,nmp_core,test,53.61472,-9.83306
Mannin,mannin,177,Mannin,2024,6,2024-02-05,0.0,0.0003973112372153646,0.0,0.0,Lower,0.0,0,0,,9.33,0.36105454545454485,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,6,2024-02-05,0.0,0.00036162325542060404,0.0,0.0,Lower,0.0,0,0,,9.29,0.41909090909090807,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,6,2024-02-05,0.0,0.0003188721365860432,0.0,0.0,Lower,0.0,0,0,0.2665274878218511,9.33,0.36105454545454485,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,7,2024-02-12,0.0,0.0002476716629018697,0.0,0.0,Lower,0.0,0,0,0.6908212560386473,9.03,0.36225454545454383,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,7,2024-02-12,0.0,0.0003269570239123726,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.03,0.36225454545454383,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,7,2024-02-12,0.0,0.0003666505053492858,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.03,0.36225454545454383,active,nmp_core,test,53.60389,-9.80278
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,7,2024-02-12,0.0,0.00036668272346706464,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,9.03,0.36225454545454383,active,nmp_core,test,53.61472,-9.83306
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,7,2024-02-12,0.0,0.0003272499935670608,0.0,0.0,Lower,0.0,0,0,,9.21,0.33752727272727334,active,nmp_nearby,test,53.50917,-10.07139
Ballynakill,ballynakill,163,Ballynakill,2024,8,2024-02-19,0.0,0.000254010518959671,0.0,0.0,Lower,0.0,0,0,0.6908212560386473,9.25,0.5377818181818199,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,8,2024-02-19,0.0,0.0003353244120858919,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.25,0.5377818181818199,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,8,2024-02-19,0.0,0.00037603333533861425,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.25,0.5377818181818199,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,8,2024-02-19,0.0,0.0008752884289849988,0.0,0.0,Lower,0.0,0,0,0.2665274878218511,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,8,2024-02-19,0.0,0.0003760663776292548,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,9.25,0.5377818181818199,active,nmp_core,test,53.61472,-9.83306
Mannin,mannin,177,Mannin,2024,8,2024-02-19,0.0,0.000358397256266086,0.0,0.0,Lower,0.0,0,0,,9.49,0.5061818181818172,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,8,2024-02-19,0.0,0.00032620353316498623,0.0,0.0,Lower,0.0,0,0,,9.42,0.5154181818181822,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,8,2024-02-19,0.0,0.0002876385307466082,0.0,0.0,Lower,0.0,0,0,,9.49,0.5061818181818172,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,9,2024-02-26,0.0,0.00026903212048450144,0.0,0.0,Lower,0.0,0,0,0.6908212560386473,9.03,0.3465454545454545,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,9,2024-02-26,0.0,0.0003280231737295098,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.03,0.3465454545454545,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,9,2024-02-26,0.0,0.0003678460410576591,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.03,0.3465454545454545,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,9,2024-02-26,0.0,0.000826165979568868,0.0,0.0,Lower,0.0,0,0,0.2665274878218511,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,9,2024-02-26,0.0,0.0003983032079402865,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,9.03,0.3465454545454545,active,nmp_core,test,53.61472,-9.83306
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,9,2024-02-26,0.0,0.00034549298914726483,0.0,0.0,Lower,0.0,0,0,0.2665274878218511,9.23,0.34745454545454457,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,9,2024-02-26,0.0,0.00030464821002545604,0.0,0.0,Lower,0.0,0,0,,9.24,0.32916363636363677,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,10,2024-03-04,0.0,0.00026903212048450144,0.0,0.0,Lower,0.0,0,0,0.6908212560386473,9.08,0.3866181818181804,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,10,2024-03-04,0.0,0.0003280231737295098,0.0,0.0,Lower,0.0,0,0,0.03162055335968379,9.08,0.3866181818181804,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,10,2024-03-04,0.0,0.0003678460410576591,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,9.08,0.3866181818181804,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,10,2024-03-04,0.0,0.000826165979568868,0.0,0.0,Lower,0.0,0,0,,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,10,2024-03-04,0.0,0.0003983032079402865,0.0,0.0,Lower,0.0,0,0,0.052845528455284556,9.08,0.3866181818181804,active,nmp_core,test,53.61472,-9.83306
Mannin,mannin,177,Mannin,2024,10,2024-03-04,0.0,0.0003795897069729769,0.0,0.0,Lower,0.0,0,0,,9.35,0.4391636363636362,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,10,2024-03-04,0.0,0.00034549298914726483,0.0,0.0,Lower,0.0,0,0,,9.27,0.38203636363636306,active,nmp_nearby,test,53.50917,-10.07139
Ballynakill,ballynakill,163,Ballynakill,2024,11,2024-03-11,0.0,0.0010566457604267796,0.00625,-0.00625,Lower,0.0,0,0,0.4405797101449275,9.34,0.5959124087591228,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,11,2024-03-11,0.0,0.0010637710069161712,0.00625,-0.00625,Lower,0.0,0,0,0.03162055335968379,9.34,0.5959124087591228,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,11,2024-03-11,0.0,0.001312732751392036,0.00625,-0.00625,Lower,0.0,0,0,0.03162055335968379,9.34,0.5959124087591228,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,11,2024-03-11,0.0005931198102016608,0.005840466157951445,0.00625,-0.00565688018979834,Lower,0.0,0,0,0.2665274878218511,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,11,2024-03-11,0.0005931198102016608,0.0014587236529394366,0.00625,-0.00565688018979834,Lower,0.0,0,0,0.052845528455284556,9.34,0.5959124087591228,active,nmp_core,test,53.61472,-9.83306
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,11,2024-03-11,0.0005931198102016608,0.0014427614458466913,0.00625,-0.00565688018979834,Lower,0.0,0,0,,9.4,0.48565693430656864,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,11,2024-03-11,0.0,0.0012723607996597559,0.00625,-0.00625,Lower,0.0,0,0,,9.47,0.5065693430656939,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,12,2024-03-18,0.0005931198102016608,0.0013867550906031196,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,,9.52,0.6047445255474457,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,12,2024-03-18,0.0005931198102016608,0.0013961032420352747,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,0.03162055335968379,9.52,0.6047445255474457,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,12,2024-03-18,0.0005931198102016608,0.0017227088846520384,0.008032128514056224,-0.007439008703854564,Lower,0.0,0,0,0.03162055335968379,9.52,0.6047445255474457,active,nmp_core,test,53.60389,-9.80278
