year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun,station_no,station_name
1947,3,6.9,12.3,-1.5,9.6,4.3,165.6,-5.4,11.7,60.0,83.5,2275,Valentia Observatory
1947,4,9.1,14.6,3.3,11.8,6.4,117.5,-0.6,15.3,68.0,137.6,2275,Valentia Observatory
1947,5,10.8,18.8,3.1,13.8,7.9,120.4,1.0,12.0,57.0,171.7,2275,Valentia Observatory
1947,6,13.7,23.1,7.0,16.1,11.2,94.2,4.4,10.9,47.0,142.7,2275,Valentia Observatory
1947,7,14.2,22.2,6.4,16.3,12.0,107.4,4.2,9.9,45.0,87.7,2275,Valentia Observatory
1947,8,17.3,28.1,7.8,21.4,13.2,24.3,5.9,5.6,29.0,239.9,2275,Valentia Observatory
1947,9,14.4,21.1,5.1,17.0,11.7,109.1,2.1,9.6,46.0,99.8,2275,Valentia Observatory
1947,10,12.5,21.2,3.3,15.4,9.6,84.0,0.1,10.0,40.0,97.4,2275,Valentia Observatory
1947,11,9.8,16.1,-2.0,11.9,7.6,171.7,-6.4,12.1,49.0,50.4,2275,Valentia Observatory
1947,12,7.5,12.3,-1.1,9.6,5.3,160.7,-5.1,10.9,54.0,23.9,2275,Valentia Observatory
1948,1,7.3,13.1,0.4,9.6,4.9,228.4,-1.7,14.0,63.0,56.1,2275,Valentia Observatory
1948,2,7.3,12.7,-2.2,9.4,5.2,74.6,-3.3,14.2,63.0,45.0,2275,Valentia Observatory
1948,3,10.6,19.9,1.7,13.8,7.4,76.4,-0.9,12.5,63.0,145.3,2275,Valentia Observatory
1948,4,8.8,16.7,1.0,12.2,5.4,95.0,-2.1,8.8,51.0,158.5,2275,Valentia Observatory
1948,5,11.4,26.1,1.7,15.5,7.3,65.1,-1.3,9.0,36.0,226.9,2275,Valentia Observatory
1948,6,12.8,20.4,6.7,15.5,10.2,94.6,4.9,11.9,41.0,133.0,2275,Valentia Observatory
1948,7,14.4,27.1,7.6,17.0,11.7,87.5,5.0,10.1,49.0,133.4,2275,Valentia Observatory
1948,8,15.0,23.8,7.4,18.0,12.0,105.7,4.0,9.4,57.0,136.9,2275,Valentia Observatory
1948,9,13.8,18.6,5.6,16.2,11.3,105.9,2.8,11.8,52.0,109.9,2275,Valentia Observatory
1948,10,11.5,17.0,0.9,14.0,9.1,164.9,-2.3,11.1,49.0,57.7,2275,Valentia Observatory
1948,11,11.4,15.7,0.9,13.6,9.1,124.0,-2.2,14.1,55.0,48.9,2275,Valentia Observatory
1948,12,8.6,15.7,0.0,10.9,6.2,253.1,-4.4,13.3,58.0,40.6,2275,Valentia Observatory
1949,1,8.7,12.9,0.0,10.8,6.7,95.3,-3.0,12.5,63.0,38.0,2275,Valentia Observatory
1949,2,8.5,12.8,1.3,11.1,5.9,92.9,-2.2,13.4,54.0,55.4,2275,Valentia Observatory
1949,3,8.7,19.0,-0.9,11.9,5.4,41.0,-5.0,8.4,41.0,108.8,2275,Valentia Observatory
