Sin,AreaName,SiteName,latitude,longitude,source,confidence,detail
SI-010-2417-08,Baltasound Mussels,Baltasound Mussels South,60.75626829,-0.83343517,sepa_swpa,medium,match=fuzzy_unique;sepa=Baltasound Voe
SI-010-395-08,Baltasound Mussels,Baltasound Harbour,60.75626829,-0.83343517,sepa_swpa,medium,match=fuzzy_unique;sepa=Baltasound Voe
SI-324-399-08,Basta Voe Cove,Inner - Site 1 - Thomason,60.63501494,-1.0250729,sepa_swpa,high,"match=alias;sepa=Basta Voe, Yell"
SI-324-400-08,Basta Voe Cove,Inner - Site 2 - Nisbet,60.63501494,-1.0250729,sepa_swpa,high,"match=alias;sepa=Basta Voe, Yell"
SI-323-403-08,Basta Voe Outer,Outer,60.63501494,-1.0250729,sepa_swpa,high,"match=alias;sepa=Basta Voe, Yell"
OI-871-2380-13,Bay of Skaill: Westray,Bay of Skaill: Westray,59.342201796907005,-2.9579412721076013,sepa_swpa,medium,match=fuzzy_unique;sepa=Bay of Skaill
SI-633-1270-08,Clift Sound Houss,Clift Sound Houss,60.05670678,-1.31148264,sepa_swpa,medium,match=fuzzy_unique;sepa=Clift Sound
SI-036-413-08,Clift Sound: Booth,Booth,60.05670678,-1.31148264,sepa_swpa,medium,match=fuzzy_unique;sepa=Clift Sound
SI-035-415-08,Clift Sound: Stream Sound,Stream Sound,60.05670678,-1.31148264,sepa_swpa,medium,match=fuzzy_unique;sepa=Clift Sound
AB-041-009-13,Colonsay,The Strand West,56.03324864,-6.257114,sepa_swpa,high,match=area_exact;sepa=Colonsay
AB-041-1199-13,Colonsay,The Strand East,56.03324864,-6.257114,sepa_swpa,high,match=area_exact;sepa=Colonsay
RC-884-2413-08,Cromarty Firth Mussels,Cromarty Firth Mussels,57.66815183,-4.12184297,sepa_swpa,high,match=alias;sepa=Cromarty Bay
HS-054-239-08,Dornoch Firth,Dornoch Firth,57.86666013,-4.21857307,sepa_swpa,high,match=area_exact;sepa=Dornoch Firth
HS-466-876-08,Dornoch Firth 2,Meikle Ferry,57.86666013,-4.21857307,sepa_swpa,medium,match=fuzzy_unique;sepa=Dornoch Firth
LH-057-106-08,East Loch Tarbert,Sound of Scalpay,57.87693012,-6.70840025,sepa_swpa,high,match=area_exact;sepa=East Loch Tarbert
NA-065-332-13,Fairlie,Southannan Sands,55.75100587,-4.86487956,sepa_swpa,high,match=area_exact;sepa=Fairlie
SI-080-424-08,Gruting Voe: Braewick Voe,Braewick Voe,60.21140083,-1.5317449,sepa_swpa,medium,match=fuzzy_unique;sepa=Gruting Voe
SI-081-425-08,Gruting Voe: Browland Voe,Browland Voe,60.21140083,-1.5317449,sepa_swpa,medium,match=fuzzy_unique;sepa=Gruting Voe
RC-090-1616-08,Inner Loch Torridon,Dubh Aird,57.54417649,-5.58950486,sepa_swpa,high,match=alias;sepa=Upper Loch Torridon
RC-090-245-08,Inner Loch Torridon,Ob Gorm Mor,57.54417649,-5.58950486,sepa_swpa,high,match=alias;sepa=Upper Loch Torridon
AB-094-011-13,Islay,Loch Gruinart Craigens,55.85140734,-6.32791809,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Gruinart
HS-103-303-13,Kyle of Tongue,Kyle of Tongue,58.51008926,-4.41079709,sepa_swpa,high,match=area_exact;sepa=Kyle of Tongue
RC-805-2122-13,Little Loch Broom Pacific Oysters,Little Loch Broom Pacific Oysters,57.90105052,-5.37058419,sepa_swpa,high,match=area_exact;sepa=Little Loch Broom
AB-313-709-08,Loch Creran Upper Mussels,Inner Creran,56.51962238,-5.36170091,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Creran
AB-130-022-13,Loch Creran: Rubha Mor,Rubha Mor,56.51962238,-5.36170091,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Creran
HL-136-219-08,Loch Eil: Fassfern,Fassfern,56.8484917,-5.25238597,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Eil
SL-137-281-08,Loch Eishort,Drumfearn,57.1744921,-5.87106699,sepa_swpa,high,match=area_exact;sepa=Loch Eishort
LH-357-747-08,Loch Erisort: Garbh Eilean,Garbh Eilean,58.0981104,-6.48151769,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Erisort
LH-891-711-08,Loch Erisort: Gob Glas,Gob Glas,58.0981104,-6.48151769,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Erisort
AB-316-030-08,Loch Etive West,Loch Etive - Spiers,56.49673406,-5.13463934,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Etive
RC-142-250-07,Loch Ewe & Loch Thurnaig,Loch Ewe,57.80246551,-5.63347929,sepa_swpa,high,match=site_exact;sepa=Loch Ewe
RC-142-250-08,Loch Ewe & Loch Thurnaig,Loch Ewe,57.80246551,-5.63347929,sepa_swpa,high,match=site_exact;sepa=Loch Ewe
