year,month,precip_mm
1911,8,65.2
1911,9,73.4
1911,10,110.6
1911,11,130.9
1911,12,195.3
1912,1,114.2
1912,2,105.3
1912,3,122.6
1912,4,34.5
1912,5,38.5
1912,6,144.5
1912,7,117.3
1912,8,133.5
1912,9,25.2
1912,10,84.2
1912,11,75.4
1912,12,128.7
1913,1,173.0
1913,2,53.2
1913,3,106.6
1913,4,104.9
1913,5,114.2
1913,6,71.8
1913,7,24.3
1913,8,37.1
1913,9,107.1
1913,10,124.3
1913,11,120.4
1913,12,80.7
1914,1,59.6
1914,2,149.9
1914,3,125.5
1914,4,45.8
1914,5,52.1
1914,6,31.5
1914,7,85.4
1914,8,125.8
1914,9,62.7
1914,10,56.3
1914,11,117.7
1914,12,211.0
1915,1,102.7
1915,2,140.3
1915,3,31.1
1915,4,55.7
1915,5,47.3
1915,6,48.9
1915,7,134.2
1915,8,83.2
1915,9,49.4
1915,10,118.4
1915,11,89.2
1915,12,170.3
1916,1,75.5
1916,2,122.5
1916,3,58.6
1916,4,94.8
1916,5,113.8
1916,6,66.3
1916,7,59.6
1916,8,84.5
1916,9,55.2
1916,10,206.2
1916,11,162.9
1916,12,93.6
1917,1,62.1
1917,2,48.4
1917,3,83.2
1917,4,48.5
1917,5,87.6
1917,6,60.3
1917,7,67.9
1917,8,195.7
1917,9,56.7
1917,10,139.6
1917,11,99.3
1917,12,71.2
1918,1,102.0
1918,2,124.1
1918,3,53.0
1918,4,38.9
1918,5,64.3
1918,6,45.5
1918,7,100.4
1918,8,76.3
1918,9,174.0
1918,10,120.7
1918,11,97.4
1918,12,145.2
1919,1,116.6
1919,2,64.3
1919,3,80.7
1919,4,48.8
1919,5,78.7
1919,6,66.3
1919,7,34.3
1919,8,82.0
1919,9,73.6
1919,10,38.0
1919,11,73.2
1919,12,160.9
1920,1,144.3
1920,2,66.9
1920,3,102.0
1920,4,102.6
1920,5,103.5
1920,6,53.7
1920,7,125.4
1920,8,70.3
1920,9,66.5
1920,10,130.4
1920,11,105.1
1920,12,104.1
1921,1,110.5
1921,2,47.2
1921,3,94.7
1921,4,26.1
1921,5,60.5
1921,6,8.4
1921,7,106.6
1921,8,112.5
1921,9,41.6
1921,10,86.3
1921,11,110.8
1921,12,91.8
1922,1,120.5
1922,2,108.7
1922,3,58.8
1922,4,82.1
1922,5,49.6
1922,6,46.9
1922,7,93.6
1922,8,111.6
