aoi,iso_year,iso_week,week_start,n_samples,Mean_Dinoflagellates,Mean_Diatoms,Mean_Copepods,Mean_LargeCopepods,Mean_SmallCopepods,PCI,lat_min,lat_max,lon_min,lon_max,cpr_mean_dinoflagellates,cpr_mean_diatoms,cpr_mean_large_copepods,cpr_mean_small_copepods,cpr_pci,n,year,week
full_extract,1982,12,1982-03-22,14,0.0,35.12880562060886,3.13095238095238,0.10064935064935061,3.030303030303029,0.07142857142857142,49.0,61.0,-16.0,0.0,0.0,35.12880562060886,0.10064935064935061,3.030303030303029,0.07142857142857142,14,1982,12
full_extract,1982,13,1982-03-29,18,37.87878787878789,751.3661202185797,7.9730639730639705,0.06060606060606055,7.91245791245791,0.5833333333333334,49.0,61.0,-16.0,0.0,37.87878787878789,751.3661202185797,0.06060606060606055,7.91245791245791,0.5833333333333334,18,1982,13
full_extract,1982,14,1982-04-05,7,146.10389610389615,3208.430913348945,23.742424242424242,0.1493506493506493,23.593073593073594,1.5714285714285714,49.0,61.0,-16.0,0.0,146.10389610389615,3208.430913348945,0.1493506493506493,23.593073593073594,1.5714285714285714,7,1982,14
full_extract,1982,15,1982-04-12,30,68.1818181818182,5614.754098360657,16.877525252525242,0.10984848484848482,16.767676767676754,3.3833333333333333,49.0,61.0,-16.0,0.0,68.1818181818182,5614.754098360657,0.10984848484848482,16.767676767676754,3.3833333333333333,30,1982,15
full_extract,1982,16,1982-04-19,40,173.29545454545462,4008.1967213114767,26.408522727272732,0.2721590909090909,26.136363636363637,2.675,49.0,61.0,-16.0,0.0,173.29545454545462,4008.1967213114767,0.2721590909090909,26.136363636363637,2.675,40,1982,16
full_extract,1982,17,1982-04-26,21,1764.0692640692625,1600.3122560499614,62.27489177489177,0.5865800865800862,61.68831168831169,2.880952380952381,49.0,61.0,-16.0,0.0,1764.0692640692625,1600.3122560499614,0.5865800865800862,61.68831168831169,2.880952380952381,21,1982,17
full_extract,1982,19,1982-05-10,24,307.7651515151512,4105.191256830601,49.37026515151515,0.3172348484848485,49.053030303030305,3.1458333333333335,49.0,61.0,-16.0,0.0,307.7651515151512,4105.191256830601,0.3172348484848485,49.053030303030305,3.1458333333333335,24,1982,19
full_extract,1982,20,1982-05-17,19,1740.4306220095696,3589.3011216565997,34.8919457735247,0.6016746411483244,34.29027113237637,3.473684210526316,49.0,61.0,-16.0,0.0,1740.4306220095696,3589.3011216565997,0.6016746411483244,34.29027113237637,3.473684210526316,19,1982,20
full_extract,1982,21,1982-05-24,50,1363.6363636363633,3795.0819672131142,40.20515151515151,0.4772727272727272,39.72787878787879,3.95,49.0,61.0,-16.0,0.0,1363.6363636363633,3795.0819672131142,0.4772727272727272,39.72787878787879,3.95,50,1982,21
full_extract,1982,23,1982-06-07,48,1420.4545454545453,1255.122950819672,66.1549873737374,0.1827651515151514,65.97222222222224,1.7604166666666667,49.0,61.0,-16.0,0.0,1420.4545454545453,1255.122950819672,0.1827651515151514,65.97222222222224,1.7604166666666667,48,1982,23
full_extract,1982,24,1982-06-14,41,2619.179600886919,1041.583366653339,63.10753880266077,0.35809312638580926,62.74944567627496,0.975609756097561,49.0,61.0,-16.0,0.0,2619.179600886919,1041.583366653339,0.35809312638580926,62.74944567627496,0.975609756097561,41,1982,24
full_extract,1982,25,1982-06-21,7,2435.064935064934,281.03044496487126,10.82575757575758,0.003246753246753243,10.822510822510827,0.0,49.0,61.0,-16.0,0.0,2435.064935064934,281.03044496487126,0.003246753246753243,10.822510822510827,0.0,7,1982,25
full_extract,1982,26,1982-06-28,12,4791.6666666666615,525.9562841530051,168.64330808080814,0.33522727272727226,168.30808080808086,0.5,49.0,61.0,-16.0,0.0,4791.6666666666615,525.9562841530051,0.33522727272727226,168.30808080808086,0.5,12,1982,26
full_extract,1982,27,1982-07-05,38,3507.7751196172267,2482.7437446074177,68.65829346092504,0.19736842105263133,68.46092503987241,2.1315789473684212,49.0,61.0,-16.0,0.0,3507.7751196172267,2482.7437446074177,0.19736842105263133,68.46092503987241,2.1315789473684212,38,1982,27
