year,month,nao,date
1982,10,-0.74,1982-10-01
1982,11,1.6,1982-11-01
1982,12,1.78,1982-12-01
1983,1,1.59,1983-01-01
1983,2,-0.53,1983-02-01
1983,3,0.95,1983-03-01
1983,4,-0.85,1983-04-01
1983,5,-0.07,1983-05-01
1983,6,0.99,1983-06-01
1983,7,1.19,1983-07-01
1983,8,1.61,1983-08-01
1983,9,-1.12,1983-09-01
1983,10,0.65,1983-10-01
1983,11,-0.98,1983-11-01
1983,12,0.29,1983-12-01
1984,1,1.66,1984-01-01
1984,2,0.72,1984-02-01
1984,3,-0.37,1984-03-01
1984,4,-0.28,1984-04-01
1984,5,0.54,1984-05-01
1984,6,-0.42,1984-06-01
1984,7,-0.07,1984-07-01
1984,8,1.15,1984-08-01
1984,9,0.17,1984-09-01
1984,10,-0.07,1984-10-01
1984,11,-0.06,1984-11-01
1984,12,0.0,1984-12-01
1985,1,-1.61,1985-01-01
1985,2,-0.49,1985-02-01
1985,3,0.2,1985-03-01
1985,4,0.32,1985-04-01
1985,5,-0.49,1985-05-01
1985,6,-0.8,1985-06-01
1985,7,1.22,1985-07-01
1985,8,-0.48,1985-08-01
1985,9,-0.52,1985-09-01
1985,10,0.9,1985-10-01
1985,11,-0.67,1985-11-01
1985,12,0.22,1985-12-01
1986,1,1.11,1986-01-01
1986,2,-1.0,1986-02-01
1986,3,1.71,1986-03-01
1986,4,-0.59,1986-04-01
1986,5,0.85,1986-05-01
1986,6,1.22,1986-06-01
1986,7,0.12,1986-07-01
1986,8,-1.09,1986-08-01
1986,9,-1.12,1986-09-01
1986,10,1.55,1986-10-01
1986,11,2.29,1986-11-01
1986,12,0.99,1986-12-01
1987,1,-1.15,1987-01-01
1987,2,-0.73,1987-02-01
1987,3,0.14,1987-03-01
1987,4,2.0,1987-04-01
1987,5,0.98,1987-05-01
1987,6,-1.82,1987-06-01
1987,7,0.52,1987-07-01
1987,8,-0.83,1987-08-01
1987,9,-1.22,1987-09-01
1987,10,0.14,1987-10-01
1987,11,0.18,1987-11-01
1987,12,0.32,1987-12-01
1988,1,1.02,1988-01-01
1988,2,0.76,1988-02-01
1988,3,-0.17,1988-03-01
1988,4,-1.17,1988-04-01
1988,5,0.63,1988-05-01
1988,6,0.88,1988-06-01
1988,7,-0.35,1988-07-01
1988,8,0.04,1988-08-01
1988,9,-0.99,1988-09-01
