year,month,ea,date
1980,11,-0.2,1980-11-01
1980,12,-1.29,1980-12-01
1981,1,-2.52,1981-01-01
1981,2,-0.95,1981-02-01
1981,3,1.58,1981-03-01
1981,4,-1.5,1981-04-01
1981,5,0.09,1981-05-01
1981,6,0.57,1981-06-01
1981,7,0.83,1981-07-01
1981,8,-1.48,1981-08-01
1981,9,0.54,1981-09-01
1981,10,0.16,1981-10-01
1981,11,0.01,1981-11-01
1981,12,0.58,1981-12-01
1982,1,-0.23,1982-01-01
1982,2,-0.08,1982-02-01
1982,3,-0.47,1982-03-01
1982,4,-0.97,1982-04-01
1982,5,0.72,1982-05-01
1982,6,1.23,1982-06-01
1982,7,-1.59,1982-07-01
1982,8,0.33,1982-08-01
1982,9,1.15,1982-09-01
1982,10,0.74,1982-10-01
1982,11,0.85,1982-11-01
1982,12,-1.34,1982-12-01
1983,1,0.59,1983-01-01
1983,2,-1.05,1983-02-01
1983,3,-0.36,1983-03-01
1983,4,1.31,1983-04-01
1983,5,1.06,1983-05-01
1983,6,-0.92,1983-06-01
1983,7,-1.72,1983-07-01
1983,8,-0.54,1983-08-01
1983,9,1.93,1983-09-01
1983,10,0.12,1983-10-01
1983,11,0.04,1983-11-01
1983,12,-0.05,1983-12-01
1984,1,-0.31,1984-01-01
1984,2,-0.34,1984-02-01
1984,3,-0.9,1984-03-01
1984,4,-0.4,1984-04-01
1984,5,-0.92,1984-05-01
1984,6,-1.29,1984-06-01
1984,7,-0.41,1984-07-01
1984,8,-2.22,1984-08-01
1984,9,-1.59,1984-09-01
1984,10,1.91,1984-10-01
1984,11,0.64,1984-11-01
1984,12,-1.18,1984-12-01
1985,1,-0.78,1985-01-01
1985,2,-0.14,1985-02-01
1985,3,-0.56,1985-03-01
1985,4,0.3,1985-04-01
1985,5,-0.66,1985-05-01
1985,6,1.06,1985-06-01
1985,7,-0.23,1985-07-01
1985,8,0.63,1985-08-01
1985,9,-0.18,1985-09-01
1985,10,0.17,1985-10-01
1985,11,-0.17,1985-11-01
1985,12,0.12,1985-12-01
1986,1,-0.78,1986-01-01
1986,2,-0.59,1986-02-01
1986,3,0.33,1986-03-01
1986,4,0.1,1986-04-01
1986,5,1.4,1986-05-01
1986,6,0.86,1986-06-01
1986,7,-0.71,1986-07-01
1986,8,-0.33,1986-08-01
1986,9,-1.34,1986-09-01
1986,10,0.91,1986-10-01
1986,11,0.72,1986-11-01
1986,12,1.13,1986-12-01
1987,1,0.06,1987-01-01
1987,2,0.78,1987-02-01
1987,3,-1.53,1987-03-01
1987,4,0.76,1987-04-01
1987,5,-0.9,1987-05-01
1987,6,0.95,1987-06-01
1987,7,-2.42,1987-07-01
1987,8,-1.26,1987-08-01
1987,9,1.53,1987-09-01
1987,10,1.01,1987-10-01
1987,11,-0.54,1987-11-01
1987,12,0.95,1987-12-01
1988,1,0.99,1988-01-01
1988,2,-0.83,1988-02-01
1988,3,0.4,1988-03-01
1988,4,0.19,1988-04-01
1988,5,-0.01,1988-05-01
1988,6,-1.71,1988-06-01
1988,7,1.25,1988-07-01
1988,8,0.77,1988-08-01
1988,9,0.42,1988-09-01
1988,10,-0.66,1988-10-01
1988,11,-1.36,1988-11-01
1988,12,-1.18,1988-12-01
1989,1,0.7,1989-01-01
1989,2,0.22,1989-02-01
1989,3,-0.62,1989-03-01
1989,4,1.12,1989-04-01
1989,5,-0.26,1989-05-01
1989,6,-0.87,1989-06-01
1989,7,0.02,1989-07-01
1989,8,-0.57,1989-08-01
1989,9,-0.57,1989-09-01
1989,10,-0.35,1989-10-01
1989,11,-1.88,1989-11-01
1989,12,1.42,1989-12-01
1990,1,0.19,1990-01-01
1990,2,1.55,1990-02-01
1990,3,1.31,1990-03-01
1990,4,-0.67,1990-04-01
1990,5,-1.27,1990-05-01
1990,6,0.57,1990-06-01
1990,7,0.02,1990-07-01
1990,8,-0.24,1990-08-01
1990,9,-1.44,1990-09-01
1990,10,0.18,1990-10-01
1990,11,-0.15,1990-11-01
1990,12,-0.78,1990-12-01
1991,1,0.92,1991-01-01
1991,2,0.15,1991-02-01
1991,3,0.7,1991-03-01
1991,4,-0.86,1991-04-01
1991,5,-2.66,1991-05-01
1991,6,-1.45,1991-06-01
1991,7,-0.86,1991-07-01
1991,8,0.05,1991-08-01
1991,9,0.48,1991-09-01
1991,10,-1.63,1991-10-01
1991,11,0.49,1991-11-01
1991,12,-1.3,1991-12-01
1992,1,-0.54,1992-01-01
1992,2,-0.19,1992-02-01
1992,3,-0.08,1992-03-01
1992,4,0.04,1992-04-01
1992,5,0.53,1992-05-01
1992,6,-0.31,1992-06-01
1992,7,-1.23,1992-07-01
1992,8,1.74,1992-08-01
1992,9,-0.22,1992-09-01
1992,10,-2.36,1992-10-01
1992,11,1.0,1992-11-01
1992,12,-0.05,1992-12-01
1993,1,0.63,1993-01-01
1993,2,-1.82,1993-02-01
1993,3,-0.03,1993-03-01
1993,4,-1.08,1993-04-01
1993,5,-0.68,1993-05-01
1993,6,-0.44,1993-06-01
1993,7,-1.41,1993-07-01
1993,8,-0.81,1993-08-01
1993,9,-0.46,1993-09-01
1993,10,-1.13,1993-10-01
1993,11,-0.77,1993-11-01
1993,12,0.43,1993-12-01
1994,1,0.0,1994-01-01
1994,2,0.83,1994-02-01
1994,3,0.7,1994-03-01
